Roles,Researchers,Institutions,Individuals Per Team,Unique Individuals Per Entry,Unique Institutions Per Entry,Is Multi-Institutional
"['Josep Mercader', 'Casey Marchek', 'Alisa Manning', 'Ravi Mandla', 'Philip Schroeder', 'Miriam Udler', 'Maheak Vora', 'Lukasz Szczerbinski', 'Josephine Li', 'Bianca Porneala', 'Kaavya Ashok', 'Aaron Deutsch', 'Satoshi Yoshiji', 'Qixuan Jin', 'Maggie Ng', 'Yingchang Lu', 'Joohyun Kim', 'Haoran Zhang', 'Alicia Huerta']","['Early Career Tenure-track Researcher', 'Project Personnel', 'Early Career Tenure-track Researcher', 'Project Personnel', 'Project Personnel', 'Early Career Tenure-track Researcher', 'Project Personnel', 'Research Fellow', 'Early Career Tenure-track Researcher', 'Project Personnel', 'Early Career Tenure-track Researcher', 'Research Fellow', 'Research Fellow', 'Graduate Trainee', 'Mid-career Tenured Researcher', 'Early Career Tenure-track Researcher', 'Other', 'Graduate Trainee', 'Research Fellow']","['Broad Institute', 'Mass General Brigham', 'Mass General Brigham', 'Broad Institute', 'Broad Institute', 'Broad Institute', 'Broad Institute', 'Broad Institute', 'Mass General Brigham', 'Mass General Brigham', 'Broad Institute', 'Mass General Brigham', 'Broad Institute', 'Massachusetts Institute of Technology', 'Vanderbilt University Medical Center', 'Vanderbilt University Medical Center', 'Vanderbilt University Medical Center', 'Massachusetts Institute of Technology', 'Broad Institute']",19,6,4,True
"['Owner', 'Undergraduate Student']",['Vaibhavi Sunkara'],"['University of Texas, San Antonio']",1,1,1,False
"['Owner', 'Graduate Trainee', 'Early Career Tenure-track Researcher']","['Jade Avery', 'Tennille Leak-Johnson']","['Morehouse School of Medicine', 'Morehouse School of Medicine']",2,2,1,False
"['Owner', 'Collaborator', 'Collaborator']","['Jianhua Zhang', 'Harrison McNabb', 'Dayo Shittu']","['National Institute of Diabetes and Digestive and Kidney Diseases (NIH - NIDDK)', 'National Institute of Diabetes and Digestive and Kidney Diseases (NIH - NIDDK)', 'National Human Genome Research Institute (NIH-NHGRI)']",3,3,2,True
['Owner'],['Centdrika Hurt'],['Birmingham-Southern College'],1,1,1,False
"['Owner', 'Mid-career Tenured Researcher', 'Late Career Tenured Researcher', 'Early Career Tenure-track Researcher']","['Julie Volkman', 'Ben Gerber', 'Alicia Lamere']","['Bryant University', 'University of Massachusetts Medical School', 'Stonehill College']",3,3,3,True
"['Owner', 'Undergraduate Student']",['William Navarrete Moreno'],"['University of Colorado, Denver']",1,1,1,False
"['Owner', 'Undergraduate Student', 'Research Fellow', 'Research Assistant', 'Graduate Trainee']","['Jeff Kramer', 'Vincent Lam', 'Sonali Gupta', 'Shivam Sharma']","['Georgia Institute of Technology', 'National Institutes of Health (NIH)', 'National Institutes of Health (NIH)', 'Georgia Institute of Technology']",4,4,2,True
"['Owner', 'Graduate Trainee']",['Matthew Alonso'],['University of Miami'],1,1,1,False
['Owner'],['azene zenebe'],['Bowie State University'],1,1,1,False
"['Owner', 'Research Fellow', 'Graduate Trainee', 'Project Personnel', 'Project Personnel', 'Research Fellow', 'Project Personnel', 'Research Fellow', 'Project Personnel']","['Johanna Smith', 'Kristjan Norland', 'Yue Yu', 'jie na', 'Marwan Hamed', 'Matt Kosel', 'Ozan Dikilitas', 'Jacob Petrzelka']","['Mayo Clinic', 'Mayo Clinic', 'Mayo Clinic', 'Mayo Clinic', 'Mayo Clinic', 'Mayo Clinic', 'Mayo Clinic', 'Mayo Clinic']",8,8,1,False
"['Owner', 'Graduate Trainee']",['Alexis Cenname'],['University of Pittsburgh'],1,1,1,False
"['Owner', 'Undergraduate Student', 'Project Personnel']","['Brandon Grover', 'Mozhdeh Bahrainian']","['University of Wisconsin, Madison']",2,2,1,False
"['Owner', 'Graduate Trainee', 'Collaborator', 'Collaborator', 'Collaborator']","['Richard Mojica Velez', 'Valeria Miranda', 'Kyle Melin', 'Jonathan Hernandez-Agosto', 'Bianca  Torres']","['University of Puerto Rico Medical Sciences', 'University of Puerto Rico Medical Sciences', 'University of Puerto Rico Medical Sciences', 'University of Puerto Rico Medical Sciences', 'University of Puerto Rico Medical Sciences']",5,5,1,False
"['Owner', 'Collaborators']","['Sijia Li', 'Rui Duan', 'Chongliang Luo']","['Harvard T. H. Chan School of Public Health', 'Washington University in St. Louis']",3,3,2,True
"['Owner', 'Graduate Trainee']",['Alexis Cunningham'],['Meharry Medical College'],1,1,1,False
"['Owner', 'Research Fellow']",['Cassie Robertson'],['National Human Genome Research Institute (NIH - NHGRI)'],1,1,1,False
"['Owner', 'Graduate Trainee', 'Research Fellow', 'Graduate Trainee']","['Lijia Zheng', 'Olga Kravchenko', 'Chenyu Li']","['Stanford University', 'University of Pittsburgh', 'University of Pittsburgh']",3,3,2,True
"['Owner', 'Early Career Tenure-track Researcher']",['Anu Sharma'],['University of Florida'],1,1,1,False
"['Owner', 'Graduate Trainee']",['Anna-Sophie Thein'],"['University of California, San Francisco']",1,1,1,False
"['Owner', 'Research Fellow', 'Early Career Tenure-track Researcher', 'Senior Researcher']","['Timothy Frayling', 'Liza Darrous', 'Lauric Ferrat', 'Aurelie Kamoun']","['Universite de Geneve', 'Universite de Geneve', 'Universite de Geneve', 'Universite de Geneve']",4,4,1,False
['Owner'],['Seyedeh Neelufar Payrovnaziri'],"['University of California, Irvine']",1,1,1,False
"['Owner', 'Graduate Trainee', 'Project Personnel', 'Other']","['Chloe Bennett', 'Robert Cavanaugh', 'Louisa Smith']","['Northeastern University', 'Northeastern University', 'Northeastern University']",3,3,1,False
"['Owner', 'Undergraduate Student']",['Vir Trivedi'],['Loyola University Chicago'],1,1,1,False
"['Owner', 'Project Personnel']",['Scott Sauers'],['Washington University in St. Louis'],1,1,1,False
['Owner'],['Rochelle Castillo'],['Mass General Brigham'],1,1,1,False
"['Owner', 'Research Assistant', 'Graduate Trainee']","['Sonali Gupta', 'Onyinye Chukka']","['National Institutes of Health (NIH)', 'Georgia Institute of Technology']",2,2,2,True
"['Owner', 'Graduate Trainee', 'Graduate Trainee']","['Shivam Sharma', 'Courtney Astore']","['Georgia Institute of Technology', 'Georgia Institute of Technology']",2,2,1,False
"['Owner', 'Project Personnel']",['Lavanya Muthukumar'],['University of Michigan'],1,1,1,False
"['Owner', 'Project Personnel']",['Michael Douglas'],"['University of California, San Francisco']",1,1,1,False
"['Owner', 'Undergraduate Student', 'Graduate Trainee', 'Graduate Trainee']","['Yang Yang', 'Tian Liu', 'Che-Yi Liao']","['Georgia Institute of Technology', 'Texas A&M University', 'Georgia Institute of Technology']",3,3,2,True
"['Owner', 'Other', 'Early Career Tenure-track Researcher', 'Other']","['Izabelle Humes', 'Kathryn Shows', 'Aymone Kouame']","['All of Us Program Operational Use', 'Virginia State University', 'All of Us Program Operational Use']",3,3,2,True
"['Owner', 'Graduate Trainee', 'Research Fellow', 'Early Career Tenure-track Researcher']","['Dara Brena', 'Viviane Schuch', 'Erica Johnson']","['Morehouse School of Medicine', 'Morehouse School of Medicine', 'Morehouse School of Medicine']",3,3,1,False
"['Owner', 'Graduate Trainee', 'Graduate Trainee']","['Lijia Zheng', 'Chenyu Li']","['Stanford University', 'University of Pittsburgh']",2,2,2,True
"['Owner', 'Project Personnel']",['Marieke Jones'],['University of Virginia'],1,1,1,False
"['Owner', 'Project Personnel', 'Research Fellow', 'Research Assistant', 'Graduate Trainee']","['Nur Shahir', 'Vincent Lam', 'Sonali Gupta', 'Shivam Sharma']","['National Institutes of Health (NIH)', 'National Institutes of Health (NIH)', 'National Institutes of Health (NIH)', 'Georgia Institute of Technology']",4,4,2,True
"['Owner', 'Graduate Trainee']",['Ziyang Zhang'],['Emory University'],1,1,1,False
"['Owner', 'Research Fellow']",['QIAOCHU XUE'],['Emory University'],1,1,1,False
"['Owner', 'Mid-career Tenured Researcher']",['Ka Wing Ho'],['University of Glasgow'],1,1,1,False
"['Owner', 'Early Career Tenure-track Researcher']",['Yiqiang Zhang'],['University of Hawaii at Manoa'],1,1,1,False
"['Owner', 'Project Personnel', 'Early Career Tenure-track Researcher']","['Caleb Harrison', 'Mary Ellen Vajravelu']","['University of Pittsburgh', 'University of Pittsburgh']",2,2,1,False
"['Owner', 'Graduate Trainee']","['Henry Taylor', 'National Human Genome Research Institute (NIH - NHGRI)']","['', '']",2,2,1,False
"['Owner', 'Research Fellow']","['Ginikanwa Onyekaba', 'Ginikanwa Onyekaba']","['Columbia University', 'Columbia University']",2,1,1,False
"['Owner', 'Graduate Trainee']",['James Crim'],['George Washington University'],1,1,1,False
"['Owner', 'Research Assistant', 'Graduate Trainee', 'Graduate Trainee', 'Graduate Trainee']","['Sonali Gupta', 'Shivam Sharma', 'Onyinye Chukka', 'Jay Menuey']","['National Institutes of Health (NIH)', 'Georgia Institute of Technology', 'Georgia Institute of Technology', 'Georgia Institute of Technology']",4,4,2,True
"['Owner', 'Graduate Trainee']",['Dawei Guan'],['University of Florida'],1,1,1,False
"['Owner', 'Graduate Trainee']","['Gracia Kayembe', 'George Washington University']",['George Washington University'],2,2,1,False
"['Owner', 'Project Personnel', 'Graduate Trainee']","['Jaffer Shah', 'Carla Dias']","['Cornell University', 'Cornell University']",2,2,1,False
"['Owner', 'Research Fellow']",['BA THONG NGUYEN'],['University of Hawaii at Manoa'],1,1,1,False
"['Owner', 'Research Fellow']",['BA THONG NGUYEN'],['University of Hawaii at Manoa'],1,1,1,False
"['Owner', 'Graduate Trainee']",['José Irizarry'],['Tulane University'],1,1,1,False
"['Owner', 'Graduate Trainee']",['Chenyu Huang'],"['University of California, Irvine']",1,1,1,False
"['Owner', 'Graduate Trainee', 'Early Career Tenure-track Researcher', 'Graduate Trainee', 'Undergraduate Student']","['Miranda Sharp', 'Mary Davis', 'Lydia Howell', 'Kylee Bates']",['Brigham Young University'],4,4,1,False
"['Owner', 'Research Fellow']",['Brooke Wolford'],['University of Michigan'],1,1,1,False
"['Owner', 'Collaborator', 'Collaborator']","['Joshua Amosu', 'Sajid Hussain', 'Aditya Karki']","['Fisk University', 'Fisk University', 'Fisk University']",3,3,1,False
"['Owner', 'Collaborator']","['Sajid Hussain', 'Joshua Amosu']","['Fisk University', 'Fisk University']",2,2,1,False
"['Owner', 'Undergraduate Student']",['Jigz Cozada'],['Arizona State University'],1,1,1,False
"['Owner', 'Research Fellow', 'Collaborator']","['Allen Chang', 'Ben Gerber']","['University of Massachusetts Medical School', 'University of Massachusetts Medical School']",2,2,1,False
"['Owner', 'Graduate Trainee']",['Alexander Rader'],['University of Texas Medical Branch (UTMB) at Galveston'],1,1,1,False
"['Owner', 'Graduate Trainee']",['Subbaramireddy Remala'],['Mass General Brigham'],1,1,1,False
"['Owner', 'Research Associate']",['Stepan Grinek'],['New York Stem Cell Foundation'],1,1,1,False
"['Owner', 'Student']",['Isabel Plakas'],['Johns Hopkins University'],1,1,1,False
"['Owner', 'Graduate Trainee']",['Sheevang Patel'],['New York Institute of Technology'],1,1,1,False
"['Owner', 'Research Fellow', 'Graduate Trainee', 'Research Fellow', 'Graduate Trainee']","['QIAOCHU XUE', 'Piaopiao Li', 'Jieun Lee', 'Dawei Guan']","['Emory University', 'Emory University', 'Emory University', 'University of Florida']",4,4,2,True
"['Owner', 'Graduate Trainee', 'Other', 'Other']","['Micah Hysong', 'Jun Qian', 'Emily Drzymalla']","['University of North Carolina, Chapel Hill', 'All of Us Program Operational Use', 'University of North Carolina, Chapel Hill']",3,3,2,True
"['Owner', 'Other']",['Seyedeh Neelufar Payrovnaziri'],"['University of California, Irvine']",1,1,1,False
"['Owner', 'Owner', 'Graduate Trainee']","['Meghan Blazey', 'Caitlin Dreisbach', 'Jaimin Shah']","['University of Rochester', 'University of Rochester', 'University of Rochester']",3,3,1,False
"['Owner', 'Graduate Trainee']",['Dharan Kadiyala'],['Columbia University'],1,1,1,False
"['Owner', 'Administrator']",['Jose Gorospe'],['National Institutes of Health (NIH)'],1,1,1,False
"['Owner', 'Senior Researcher']",['Andrew Magis'],['Institute for Systems Biology'],1,1,1,False
"['Owner', 'Graduate Trainee']",['Nima Shajarian'],"['University of California, Irvine']",1,1,1,False
"['Owner', 'Graduate Trainee', 'Graduate Trainee']","['Veronica Brady', 'Ziqi Liu', 'Samuel Akyirem']","['University of Texas Health Science Center, Houston', 'University of Texas Health Science Center, Houston', 'Yale University']",3,3,2,True
"['Owner', 'Graduate Trainee']",['Emmanuella Asiedu'],['University of Massachusetts Medical School'],1,1,1,False
"['Owner', 'Project Personnel', 'Graduate Trainee']","['Jin Zhou', 'Aubrey Jensen', 'Jonathan Hori']","['University of California, Los Angeles', 'University of Arizona', 'University of California, Los Angeles']",3,3,2,True
"['Owner', 'Project Personnel', 'Project Personnel']","['Soumya Kini', 'Justin Hill']","['The MITRE Corporation', 'The MITRE Corporation']",2,2,1,False
"['Owner', 'Graduate Trainee']","['Brooke Morris', 'Baylor University']",[''],2,2,1,False
"['Owner', 'Graduate Trainee', 'Project Personnel', 'Early Career Tenure-track Researcher']","['Whitney Schutz', 'Thomas McCoy', 'Crystal Epstein']","['University of North Carolina, Greensboro', 'University of North Carolina, Greensboro', 'University of North Carolina, Greensboro']",3,3,1,False
['Owner'],['Joanne Cole'],"['University of Colorado, Denver']",1,1,1,False
['Owner'],['Allen Seylani'],"['University of California, Riverside']",1,1,1,False
"['Owner', 'Graduate Trainee', 'Undergraduate Student']","['Zain Jabbar', 'Jeremiah Dy']","['University of Hawaii at Manoa', 'University of Hawaii at Manoa']",2,2,1,False
"['Owner', 'Collaborator', 'Collaborator']","['Breckin Forstrom', 'Mary Davis', 'Christian Betteridge']","['Brigham Young University', 'Brigham Young University', 'Brigham Young University']",3,3,1,False
"['Owner', 'Research Fellow']",['xuan zhou'],['University of Copenhagen'],1,1,1,False
"['Owner', 'Project Personnel', 'Early Career Tenure-track Researcher']","['Xiao Zhang', 'Chamika Hawkins-Taylor']",['Xavier University of Louisiana'],2,2,1,False
"['Owner', 'Early Career Tenure-track Researcher']","['Ghada Soliman', 'Aritz Irizar']","['City University of New York (CUNY)', 'Icahn School of Medicine at Mount Sinai']",2,2,2,True
"['Owner', 'Collaborator', 'Collaborator', 'Collaborator']","['Amber Vermeesch', 'Whitney Schutz', 'Thomas McCoy', 'Crystal Epstein']","['University of North Carolina, Greensboro', 'University of North Carolina, Greensboro', 'University of North Carolina, Greensboro', 'University of North Carolina, Greensboro']",4,4,1,False
"['Owner', 'Graduate Trainee']","['Veronica Brady', 'Samuel Akyirem']","['University of Texas Health Science Center, Houston', 'Yale University', 'University of Texas Health Science Center, Houston']",2,2,2,True
"['Owner', 'Graduate Trainee']",['James Russ-Silsby'],['University of Exeter'],1,1,1,False
"['Owner', 'Project Personnel', 'Late Career Tenured Researcher', 'Graduate Trainee']","[""Matteo D'Antonio"", 'Robert Greenes', 'Jean Gonzalez']","['University of California, San Diego', 'Arizona State University', 'University of California, San Diego']",3,3,2,True
"['Owner', 'Research Fellow']",['Huan Mo'],['National Human Genome Research Institute (NIH-NHGRI)'],1,1,1,False
"['Owner', 'Project Personnel', 'Research Fellow', 'Graduate Trainee', 'Early Career Tenure-track Researcher']","['Jeffrey Haessler', 'Harriett Fuller', 'Boya Guo', 'Burcu Darst']",['Fred Hutchinson Cancer Research Center'],4,4,1,False
"['Owner', 'Project Personnel']",['Jaffer Shah'],['Cornell University'],1,1,1,False
"['Owner', 'Graduate Trainee']","['Yashu Vashishath', 'Yashu Vashishath']","['University of North Texas', 'University of North Texas']",2,1,1,False
"['Owner', 'Graduate Trainee']",['Christopher Doan'],['University of Texas Medical Branch (UTMB) at Galveston'],1,1,1,False
"['Owner', 'Graduate Trainee']","['Ipek Ensari', 'Brianna Gibbs']","['Icahn School of Medicine at Mount Sinai', 'Icahn School of Medicine at Mount Sinai']",2,2,1,False
"['Owner', 'Graduate Trainee']","['xueting wang', 'Yale University']",[],2,2,0,False
['Owner'],['Nashra Bukhari'],['New York City Health & Hospitals'],1,1,1,False
"['Owner', 'Undergraduate Student']","['Jessica Hong', 'Brown University']",['Brown University'],2,2,1,False
['Owner'],['Kassaye Yitbarek Yigzaw'],['University Hospital of North Norway'],1,1,1,False
['Owner'],['Juanita Morris'],['National Pan-Hellenic Council'],1,1,1,False
"['Owner', 'Graduate Trainee', 'Graduate Trainee']","['Junius Rosario', 'itza garcia']","['Philadelphia College of Osteopathic Medicine', 'Philadelphia College of Osteopathic Medicine']",2,2,1,False
"['Owner', 'Research Fellow', 'Project Personnel']","['frhaan zahrawi', 'Khaled Zahrawi']","['Yale University', 'Yale University']",2,2,1,False
"['Owner', 'Project Personnel']",['Weibin Zhang'],['University of Texas Medical Branch (UTMB) at Galveston'],1,1,1,False
"['Owner', 'Graduate Trainee']",['Chenyu Huang'],"['University of California, Irvine']",1,1,1,False
"['Owner', 'Project Personnel']",['Kelsy Alaine Broadaway'],"['University of North Carolina, Chapel Hill']",1,1,1,False
"['Owner', 'Graduate Trainee', 'Graduate Trainee']","['Maaz Imam', 'Coulter Johnston', 'Jiajun Luo']","['University of Chicago', 'University of Chicago', 'University of Chicago']",3,3,1,False
"['Owner', 'Project Personnel']",['Ariel Aptekmann'],['Hackensack University Medical Center'],1,1,1,False
"['Owner', 'Senior Researcher']",['Liliana Lombardi De Sa'],['Sun River Health'],1,1,1,False
"['Owner', 'Project Personnel', 'Early Career Tenure-track Researcher', 'Graduate Trainee', 'Graduate Trainee', 'Early Career Tenure-track Researcher', 'Graduate Trainee', 'Early Career Tenure-track Researcher', 'Project Personnel', 'Graduate Trainee']","['Rohith Ravindranath', 'Billy Caceres', 'Yashika Sharma', 'Vince Nguyen', 'Stephanie Cook', 'Joseph Belloir', 'Ipek Ensari', 'Danny Doan', 'Chenziheng Weng']","['Stanford University', 'Columbia University', 'Columbia University', 'Columbia University', 'New York University', 'Columbia University', 'Icahn School of Medicine at Mount Sinai', 'Columbia University', 'New York University']",9,9,4,True
"['Owner', 'Early Career Tenure-track Researcher']",['Abiodun Otolorin'],['Howard University'],1,1,1,False
"['Owner', 'Owner', 'Collaborator', 'Collaborator', 'Collaborator']","['Steve Johnson', 'Lisiane Pruinelli', 'Tim Meyer', 'Ragnhildur Bjarnadottir', 'Marisa Sileo']","['University of Minnesota', 'University of Minnesota', 'University of Minnesota', 'University of Florida', ""Boston Children's Hospital""]",5,5,3,True
"['Owner', 'Project Personnel', 'Graduate Trainee']","['Blake Fortes', 'Tim Banh', 'Ramin Talebi']","['University of California, Los Angeles', 'University of California, Los Angeles', 'University of California, Los Angeles']",3,3,1,False
"['Owner', 'Research Fellow']",['Addam Reynolds'],['University of Southern California'],1,1,1,False
"['Owner', 'Graduate Trainee', 'Collaborator', 'Collaborator']","['Dhairya Upadhyay', 'Souptik Barua', 'Adeep Kulkarni']","['New York University', 'New York University, Grossman School of Medicine', 'New York University, Grossman School of Medicine']",3,3,2,True
"['Owner', 'Undergraduate Student']",['Yang Yang'],['Georgia Institute of Technology'],1,1,1,False
"['Owner', 'Student']",['Jack Cummins'],['Manchester-Essex Regional High School'],1,1,1,False
"['Owner', 'Undergraduate Student']",['Raja Allmdar Tariq Ali'],['Indiana University'],1,1,1,False
"['Owner', 'Research Associate']",['Patrick Allaire'],['Marshfield Clinic Research Institute'],1,1,1,False
"['Owner', 'Graduate Trainee', 'Research Assistant', 'Other', 'Other', 'Mid-career Tenured Researcher', 'Other', 'Senior Researcher', 'Project Personnel']","['Robert Meller', 'Shashwat Deepali Nagar', 'Sonali Gupta', 'Roxana Loperena Cortes', 'Francis Ratsimbazafy', 'King Jordan', 'Kelsey Mayo', 'Juan Kehoe', 'Elena Moseyko']","['Morehouse School of Medicine', 'Georgia Institute of Technology', 'National Institutes of Health (NIH)', 'All of Us Program Operational Use', 'All of Us Program Operational Use', 'Georgia Institute of Technology', 'All of Us Program Operational Use', 'All of Us Program Operational Use', 'All of Us Program Operational Use']",9,9,4,True
"['Owner', 'Project Personnel']",['Stefanee Tillman'],['All of Us Researcher Academy/RTI International'],1,1,1,False
"['Owner', 'Research Fellow', 'Graduate Trainee']","['Seth Sharp', 'Hector Ortega']","['Stanford University', 'Stanford University']",2,2,1,False
['Owner'],['Nasser Sharareh'],['University of Utah'],1,1,1,False
"['Owner', 'Graduate Trainee', 'Graduate Trainee']","['Ravi Radhakrishnan', 'Sahil Kulkarni', 'Jonathan Nukpezah']","['University of Pennsylvania', 'University of Pennsylvania', 'University of Pennsylvania']",3,3,1,False
"['Owner', 'Collaborator']","['Yong Eun', 'Bettina Therese Escolano']","['New York City Health & Hospitals', 'New York City Health & Hospitals']",2,2,1,False
"['Owner', 'Graduate Trainee']",['Jiacheng Miao'],"['University of Wisconsin, Madison']",1,1,1,False
